id,osmId,name,elevation,coordinates
view282,node/9656632861,Rastplatz Säbener Promenade - Punto panoramico di Sabiona,,"[11.566912, 46.6419782]"
view283,node/9667945400,Panchina gigante,,"[10.7697931, 45.8749595]"
view284,node/9864105047,Osservatorio,,"[11.3288748, 46.0847428]"
view285,node/9879417660,Auf dem Gelenk,2450,"[10.6794632, 46.4922533]"
view286,node/9891537117,Crepa de Kinada,,"[10.9271535, 46.1040164]"
view287,node/9893100550,Località Spiazzi,,"[11.1340763, 45.9121976]"
view288,node/10055986193,Schützenherz,,"[11.3127258, 46.3459582]"
view289,node/10187199023,Kreuzjöchl - Passo della Croce,1984,"[11.2809074, 46.6684065]"
view290,node/10248525767,Sinicher Kopf,,"[11.1849713, 46.634711]"
view291,node/10537952725,Vallagarina - Garda,,"[10.9587629, 45.9141354]"
view292,node/10597157052,Punto Panoramico San Romedio,,"[11.1116222, 46.3627409]"
view293,node/10688273589,Frankenbach-Wasserfall,,"[11.9572134, 46.9940399]"
view294,node/10901243148,Loggia Veneziana,,"[11.126896, 46.0714592]"
view295,node/10916232458,Panorama sul Lago di Caldonazzo,,"[11.2533195, 45.9649034]"
view296,node/10916232470,Panorama Passo della Borcola,,"[11.2062544, 45.8278803]"
view297,node/10944156889,Spiz de Fosernega,,"[11.687006, 46.2114446]"
view298,node/11044002130,Belvedere dell'Alpe di Siusi,,"[11.6563564, 46.5525867]"
view299,node/11078401517,,920,"[11.1715352, 46.1324457]"
view300,node/11099121806,Photopoint Santa Maddalena,,"[11.7162814, 46.6475125]"
view301,node/11117038860,Hohe Warte,,"[11.4815375, 46.9118294]"
view302,node/11138357309,campo secco,,"[10.802753, 46.3920517]"
view303,node/11205456824,Versante Garda - Gresta,,"[10.9000893, 45.86447]"
view304,node/11300071266,Punto panoramico Zambel,,"[11.1208794, 46.1464856]"
view305,node/11457474192,Versante Grestano,,"[10.9100254, 45.8578253]"
view306,node/11816638585,Kassasteig,,"[11.9328, 46.8366159]"
view307,node/12006068573,Hochwand,,"[11.3439939, 46.3331819]"
view308,node/12020053609,Panoramaweg Völlan,,"[11.1334577, 46.590806]"
view309,node/12046129302,"Aussichtsplattform ""Pfeifer Huisile Schlucht""",,"[11.2480961, 46.8700733]"
view310,node/12074040535,Alto Garda - Vallagarina,,"[10.8906743, 45.8126289]"
view311,node/12091634369,Grotta delle Tre Cime,,"[12.3092721, 46.6381821]"
view312,node/12174865263,Drei Zinnen Blick,,"[12.2319274, 46.6404124]"
