Unnamed: 0,type,name_id,country,crag,sector,name,tall_recommend_sum,grade_mean,cluster,rating_tot,coordinates
33950,climb_rooute,33950,ita,arco,camerette,mani di fata,0,49.0,2,-0.1267817593890806,"[46.0927098, 11.1062932]"
33951,climb_rooute,33951,ita,arco,camerette,nutella,0,41.07692307692308,2,-0.0335809703148005,"[46.0927098, 11.1062932]"
33952,climb_rooute,33952,ita,arco,camerette,ocio che slimpego,0,53.0,2,-0.0414209104850639,"[46.0927098, 11.1062932]"
33953,climb_rooute,33953,ita,arco,camerette,pin e puk,0,62.5,3,-0.0452114488928387,"[46.0927098, 11.1062932]"
33954,climb_rooute,33954,ita,arco,camerette,scorpion,0,49.0,2,-0.1250050129553928,"[46.0927098, 11.1062932]"
33955,climb_rooute,33955,ita,arco,camerette,spazio,0,44.0,2,-0.0369868602406949,"[46.0927098, 11.1062932]"
33956,climb_rooute,33956,ita,arco,camerette,tambata,0,42.0,2,-0.1050566219397543,"[46.0927098, 11.1062932]"
33957,climb_rooute,33957,ita,arco,camerette,tantum,1,51.15384615384615,1,-0.0648705222676293,"[46.0927098, 11.1062932]"
33958,climb_rooute,33958,ita,arco,camerette,tutti i giorni,0,46.0,2,-0.1250050129553928,"[46.0927098, 11.1062932]"
33959,climb_rooute,33959,ita,arco,camerette,una manzana al giorno,0,59.0,1,-0.16490179498667,"[46.0927098, 11.1062932]"
33960,climb_rooute,33960,ita,arco,cavedine,abes,0,52.0,2,-0.0855778624314708,"[45.9952, 10.973577]"
33961,climb_rooute,33961,ita,arco,cavedine,alibi,0,49.0,5,0.0073931789827943,"[45.9952, 10.973577]"
33962,climb_rooute,33962,ita,arco,cavedine,alta tensione,2,38.285714285714285,1,0.0231745444233,"[45.9952, 10.973577]"
33963,climb_rooute,33963,ita,arco,cavedine,diaframma,0,46.0,2,-0.0379193493621728,"[45.9952, 10.973577]"
33964,climb_rooute,33964,ita,arco,cavedine,gioia e rivoluzione,-1,50.2,2,-0.0341315399589757,"[45.9952, 10.973577]"
33965,climb_rooute,33965,ita,arco,cavedine,ingenue utopie,-1,44.1,2,0.0916663294435382,"[45.9952, 10.973577]"
33966,climb_rooute,33966,ita,arco,cavedine,misery non deve morire,-2,52.8,2,-0.0651829792743726,"[45.9952, 10.973577]"
33967,climb_rooute,33967,ita,arco,cavedine,oibo,-1,42.09090909090909,1,0.023593460544861,"[45.9952, 10.973577]"
33968,climb_rooute,33968,ita,arco,cavedine,orgasmatic plus,-1,52.55555555555556,2,-0.0596692116661646,"[45.9952, 10.973577]"
33969,climb_rooute,33969,ita,arco,cavedine,oro nero,0,44.5,3,-0.0621774025852579,"[45.9952, 10.973577]"
33970,climb_rooute,33970,ita,arco,cavedine,palpito tenue,0,53.94444444444444,0,-0.0065638808851471,"[45.9952, 10.973577]"
33971,climb_rooute,33971,ita,arco,cavedine,placebo,0,46.0,2,-0.1250050129553928,"[45.9952, 10.973577]"
33972,climb_rooute,33972,ita,arco,cavedine,sbarbie e prepuzio,0,44.0,2,0.0019774326691042,"[45.9952, 10.973577]"
33973,climb_rooute,33973,ita,arco,cavedine,sesso e nutella,0,42.0,5,0.0821675186408418,"[45.9952, 10.973577]"
33974,climb_rooute,33974,ita,arco,cavedine,toto darabia,0,54.0,2,0.0843163186964496,"[45.9952, 10.973577]"
33975,climb_rooute,33975,ita,arco,cavedine,vox populi,0,49.0,2,-0.0053146668615616,"[45.9952, 10.973577]"
33976,climb_rooute,33976,ita,arco,colodri,aspettando martino,1,33.09090909090909,2,-0.0751390705205137,"[45.92731083207597, 10.887633592193865]"
33977,climb_rooute,33977,ita,arco,colodri,barbara,-1,37.0,6,-0.16490179498667,"[45.92731083207597, 10.887633592193865]"
33978,climb_rooute,33978,ita,arco,colodri,cinque stagioni,0,36.5,2,-0.0415653991275057,"[45.92731083207597, 10.887633592193865]"
33979,climb_rooute,33979,ita,arco,colodri,mescalito,0,48.0,1,-0.16490179498667,"[45.92731083207597, 10.887633592193865]"
33980,climb_rooute,33980,ita,arco,colodri,passi falsi,0,48.25,2,-0.1619572746067901,"[45.92731083207597, 10.887633592193865]"
33981,climb_rooute,33981,ita,arco,colodri,primi sogni,0,36.0,2,-0.0734745342424936,"[45.92731083207597, 10.887633592193865]"
33982,climb_rooute,33982,ita,arco,colodri,ricci caprichi,0,44.0,2,0.0744788972009925,"[45.92731083207597, 10.887633592193865]"
33983,climb_rooute,33983,ita,arco,colodri,sotto vuoto,0,51.2,0,-0.1600927288727035,"[45.92731083207597, 10.887633592193865]"
33984,climb_rooute,33984,ita,arco,colodri,stenico,0,40.0,2,0.0820979734365922,"[45.92731083207597, 10.887633592193865]"
33985,climb_rooute,33985,ita,arco,colodri,totem e tabu,0,48.0,2,-0.0608286651002166,"[45.92731083207597, 10.887633592193865]"
33986,climb_rooute,33986,ita,arco,colodri,zanzara,0,51.0,2,0.3182874377417617,"[45.92731083207597, 10.887633592193865]"
33987,climb_rooute,33987,ita,arco,coltura,attila,0,57.125,2,-0.1050596788913049,"[46.058338, 10.7941897]"
33988,climb_rooute,33988,ita,arco,coltura,balenottera,2,59.16666666666666,2,-0.1022639465612427,"[46.058338, 10.7941897]"
33989,climb_rooute,33989,ita,arco,coltura,baza,0,36.0,1,0.0744059678740279,"[46.058338, 10.7941897]"
33990,climb_rooute,33990,ita,arco,coltura,bella gita,0,40.0,1,0.0678113401780304,"[46.058338, 10.7941897]"
33991,climb_rooute,33991,ita,arco,coltura,break finger,0,49.5,3,-0.0462501361358278,"[46.058338, 10.7941897]"
33992,climb_rooute,33992,ita,arco,coltura,buena estrella,0,44.0,2,0.0744788972009925,"[46.058338, 10.7941897]"
33993,climb_rooute,33993,ita,arco,coltura,calvario,0,55.0,2,-0.0547843030038414,"[46.058338, 10.7941897]"
33994,climb_rooute,33994,ita,arco,coltura,claudia,0,34.5,2,-0.0649298890273194,"[46.058338, 10.7941897]"
33995,climb_rooute,33995,ita,arco,coltura,delirium tremens,2,62.66666666666666,3,0.230171207431268,"[46.058338, 10.7941897]"
33996,climb_rooute,33996,ita,arco,coltura,giorgia l,0,33.5,4,0.0744788972009925,"[46.058338, 10.7941897]"
33997,climb_rooute,33997,ita,arco,coltura,leyla l,0,38.0,4,0.0146337241540769,"[46.058338, 10.7941897]"
33998,climb_rooute,33998,ita,arco,coltura,lidraulico,0,53.0,2,-0.079923314603023,"[46.058338, 10.7941897]"
33999,climb_rooute,33999,ita,arco,coltura,luomo azzurro,1,61.333333333333336,0,-0.0452114488928387,"[46.058338, 10.7941897]"
34000,climb_rooute,34000,ita,arco,coltura,lupus in fabula,0,59.0,2,-0.1051295512667189,"[46.058338, 10.7941897]"
34001,climb_rooute,34001,ita,arco,coltura,martina,0,40.0,1,0.0146337241540769,"[46.058338, 10.7941897]"
34002,climb_rooute,34002,ita,arco,coltura,mefisto,0,53.09090909090909,2,-0.120066534752793,"[46.058338, 10.7941897]"
34003,climb_rooute,34003,ita,arco,coltura,odissea,0,62.0,2,-0.1051295512667189,"[46.058338, 10.7941897]"
34004,climb_rooute,34004,ita,arco,coltura,papillon,0,53.0,2,0.0869424026263529,"[46.058338, 10.7941897]"
34005,climb_rooute,34005,ita,arco,coltura,regina della notte,0,41.0,2,0.0146337241540769,"[46.058338, 10.7941897]"
34006,climb_rooute,34006,ita,arco,coltura,road to nowhere,0,62.0,2,0.2790147273149467,"[46.058338, 10.7941897]"
34007,climb_rooute,34007,ita,arco,coltura,rockerduck,-1,51.25,3,-0.0466483001060613,"[46.058338, 10.7941897]"
34008,climb_rooute,34008,ita,arco,coltura,trans culturale,0,62.0,4,-0.1067789786545214,"[46.058338, 10.7941897]"
34009,climb_rooute,34009,ita,arco,coltura,variante a diedro ermanno,1,45.5,0,0.0146337241540769,"[46.058338, 10.7941897]"
34010,climb_rooute,34010,ita,arco,comano,bernardi,2,52.61538461538461,0,0.0770185892795257,"[46.0351917, 10.8921819]"
34011,climb_rooute,34011,ita,arco,comano,carega,0,61.66666666666666,0,-0.1633172789722256,"[46.0351917, 10.8921819]"
